transaction_id,sender_account_id,receiver_account_id,merchant_id,device_id,amount,transaction_type,timestamp,fraud_label,txns_last_1h,txns_last_24h,avg_amount_history_24h,device_sharing_count,linked_accounts_count,merchant_risk_score,account_age_days,geo_anomaly,time_since_prev_sec
TXN_F_60002796,ACC_1002305,,M_1238,DEV_10872,3002.04,PURCHASE,2025-12-26 11:47:33,1,0,0,3002.04,6,1,0.87,0.09722222222222222,1,86400.0
TXN_F_60002799,ACC_1002305,,M_1074,DEV_10727,1666.67,PURCHASE,2025-12-26 15:10:33,1,0,1,2334.355,11,1,0.85,0.23819444444444443,1,12180.0
TXN_F_60002791,ACC_1009892,,M_1067,DEV_10299,1038.52,PURCHASE,2025-12-26 19:39:02,1,0,0,1038.52,5,3,0.31,0.14444444444444443,1,86400.0
TXN_F_60002789,ACC_1008269,,M_1252,DEV_10229,2540.29,PURCHASE,2025-12-27 00:07:57,1,0,0,2540.29,7,3,0.83,0.050694444444444445,1,86400.0
TXN_F_60002795,ACC_1002305,,M_1480,DEV_11913,2110.29,PURCHASE,2025-12-27 01:26:33,1,0,2,2259.6666666666665,11,1,0.06,0.6659722222222222,1,36960.0
TXN_F_60002780,ACC_1013252,,M_1187,DEV_H_98829,4178.88,PURCHASE,2025-12-27 01:57:22,1,0,0,4178.88,4,1,0.13,0.08958333333333333,1,86400.0
TXN_F_60002798,ACC_1002305,,M_1109,DEV_10102,3731.94,PURCHASE,2025-12-27 02:15:33,1,1,3,2627.735,11,1,0.04,0.7,1,2940.0
TXN_F_60002784,ACC_1013252,,M_1279,DEV_11882,4396.7,PURCHASE,2025-12-27 04:13:22,1,0,1,4287.79,11,1,0.02,0.1840277777777778,0,8160.0
TXN_F_60002792,ACC_1009892,,M_1163,DEV_10642,4628.77,PURCHASE,2025-12-27 05:32:02,1,0,1,2833.6450000000004,9,3,0.57,0.55625,1,35580.0
TXN_F_60002776,ACC_1008270,,M_1433,DEV_11645,1726.66,PURCHASE,2025-12-27 06:00:57,1,0,0,1726.66,6,3,0.3,0.07569444444444444,1,86400.0
TXN_F_60002785,ACC_1008269,,M_1388,DEV_11664,4801.98,PURCHASE,2025-12-27 06:01:57,1,0,1,3671.1349999999998,12,3,0.84,0.2965277777777778,1,21240.0
TXN_F_60002778,ACC_1008270,,M_1370,DEV_11620,1598.98,PURCHASE,2025-12-27 08:04:57,1,0,1,1662.8200000000002,11,3,0.78,0.16180555555555556,1,7440.0
