account_id,customer_id,account_type,balance,status,created_at
ACC_1000000,C_100000,BUSINESS,61653.74,ACTIVE,2023-08-30 04:26:22
ACC_1000001,C_100001,BUSINESS,14260.46,ACTIVE,2016-04-25 14:51:03
ACC_1000002,C_100001,SAVINGS,2795.31,ACTIVE,2016-04-21 01:17:03
ACC_1000003,C_100001,BUSINESS,56492.05,ACTIVE,2016-05-18 15:52:03
ACC_1000004,C_100002,BUSINESS,414890.47,ACTIVE,2024-07-10 16:13:46
ACC_1000005,C_100003,SAVINGS,6244.77,ACTIVE,2017-03-01 19:52:12
ACC_1000006,C_100004,CURRENT,505.09,ACTIVE,2025-05-18 11:56:17
ACC_1000007,C_100005,CURRENT,2474.79,DORMANT,2019-04-28 10:03:18
ACC_1000008,C_100005,BUSINESS,63569.14,ACTIVE,2019-04-13 17:22:18
ACC_1000009,C_100006,SAVINGS,4162.44,ACTIVE,2018-05-25 00:47:13
ACC_1000010,C_100007,BUSINESS,486140.86,ACTIVE,2019-01-31 13:18:06
ACC_1000011,C_100008,CURRENT,381.66,ACTIVE,2025-01-26 10:30:07
ACC_1000012,C_100009,CURRENT,1979.55,ACTIVE,2025-12-24 15:26:19
ACC_1000013,C_100010,CURRENT,1058.33,ACTIVE,2022-08-11 09:58:55
ACC_1000014,C_100011,BUSINESS,23329.95,ACTIVE,2023-01-24 12:14:29
ACC_1000015,C_100011,SAVINGS,20062.94,DORMANT,2023-02-11 12:02:29
ACC_1000016,C_100012,SAVINGS,11137.56,ACTIVE,2022-03-22 23:17:04
ACC_1000017,C_100012,BUSINESS,66156.51,ACTIVE,2022-04-09 17:05:04
ACC_1000018,C_100013,CURRENT,871.58,ACTIVE,2017-04-11 05:29:09
ACC_1000019,C_100014,SAVINGS,17007.54,DORMANT,2017-04-02 20:44:59
ACC_1000020,C_100015,CURRENT,1940.27,ACTIVE,2021-12-24 12:34:14
ACC_1000021,C_100016,SAVINGS,7975.4,ACTIVE,2025-01-27 01:07:46
ACC_1000022,C_100016,BUSINESS,91063.48,ACTIVE,2025-01-31 01:42:46
ACC_1000023,C_100016,SAVINGS,4187.8,ACTIVE,2025-02-08 12:35:46
ACC_1000024,C_100017,CURRENT,2510.93,ACTIVE,2025-03-03 09:13:11
ACC_1000025,C_100018,CURRENT,3812.81,ACTIVE,2021-12-04 08:34:07
ACC_1000026,C_100019,BUSINESS,42751.05,DORMANT,2020-12-23 22:01:39
ACC_1000027,C_100020,SAVINGS,216313.94,ACTIVE,2022-08-30 12:51:04
ACC_1000028,C_100021,SAVINGS,250000.0,DORMANT,2019-09-21 02:15:47
ACC_1000029,C_100022,CURRENT,3454.63,ACTIVE,2025-11-29 01:39:27
ACC_1000030,C_100023,CURRENT,1555.34,ACTIVE,2023-06-19 10:55:38
ACC_1000031,C_100023,BUSINESS,228668.7,ACTIVE,2023-06-05 00:47:38
ACC_1000032,C_100023,CURRENT,2217.81,ACTIVE,2023-05-25 04:13:38
ACC_1000033,C_100024,CURRENT,3848.05,ACTIVE,2023-04-01 07:19:59
ACC_1000034,C_100024,SAVINGS,14912.89,ACTIVE,2023-04-17 06:58:59
ACC_1000035,C_100025,SAVINGS,19876.06,ACTIVE,2017-08-08 19:45:36
ACC_1000036,C_100025,SAVINGS,33200.82,ACTIVE,2017-08-10 06:22:36
ACC_1000037,C_100026,CURRENT,3872.41,ACTIVE,2025-08-16 12:16:12
ACC_1000038,C_100026,BUSINESS,62881.18,ACTIVE,2025-09-06 04:53:12
ACC_1000039,C_100027,BUSINESS,412026.05,ACTIVE,2025-07-26 07:30:22
ACC_1000040,C_100028,SAVINGS,17251.99,ACTIVE,2020-04-10 21:25:42
ACC_1000041,C_100029,BUSINESS,9016.34,ACTIVE,2017-10-09 10:50:50
ACC_1000042,C_100029,CURRENT,1249.1,ACTIVE,2017-10-13 23:42:50
ACC_1000043,C_100029,CURRENT,1227.17,ACTIVE,2017-10-25 13:21:50
ACC_1000044,C_100030,SAVINGS,19913.77,ACTIVE,2021-08-28 23:29:15
ACC_1000045,C_100030,SAVINGS,21915.97,ACTIVE,2021-08-24 14:13:15
ACC_1000046,C_100030,CURRENT,1570.97,ACTIVE,2021-09-10 18:22:15
ACC_1000047,C_100031,CURRENT,6177.01,ACTIVE,2026-01-12 13:26:28
ACC_1000048,C_100032,SAVINGS,38913.13,ACTIVE,2021-12-06 16:13:07
ACC_1000049,C_100032,SAVINGS,2841.63,ACTIVE,2021-11-20 07:09:07
ACC_1000050,C_100033,CURRENT,2355.81,DORMANT,2023-04-28 06:26:21
ACC_1000051,C_100034,BUSINESS,1140617.57,ACTIVE,2017-07-04 18:56:25
ACC_1000052,C_100034,CURRENT,2923.64,ACTIVE,2017-07-06 21:19:25
ACC_1000053,C_100034,BUSINESS,66240.27,ACTIVE,2017-06-26 17:00:25
ACC_1000054,C_100035,BUSINESS,1384709.78,ACTIVE,2025-01-27 01:11:37
ACC_1000055,C_100036,CURRENT,1104.91,ACTIVE,2017-05-17 17:26:49
ACC_1000056,C_100037,SAVINGS,8338.71,DORMANT,2023-10-03 15:15:30
ACC_1000057,C_100038,BUSINESS,22152.22,ACTIVE,2025-05-10 02:59:25
ACC_1000058,C_100039,SAVINGS,36490.3,ACTIVE,2022-03-16 20:59:17
ACC_1000059,C_100040,BUSINESS,275581.48,ACTIVE,2022-03-31 20:58:30
ACC_1000060,C_100040,BUSINESS,828758.35,DORMANT,2022-03-21 15:59:30
ACC_1000061,C_100041,BUSINESS,47864.37,ACTIVE,2023-09-18 05:28:06
ACC_1000062,C_100042,SAVINGS,52265.76,ACTIVE,2018-09-26 10:37:59
ACC_1000063,C_100042,CURRENT,2989.75,ACTIVE,2018-09-03 17:20:59
ACC_1000064,C_100043,CURRENT,2177.6,ACTIVE,2025-08-29 07:05:14
ACC_1000065,C_100044,BUSINESS,47277.91,ACTIVE,2018-08-14 10:25:59
ACC_1000066,C_100045,SAVINGS,43925.7,ACTIVE,2023-03-17 01:32:48
ACC_1000067,C_100046,BUSINESS,42138.21,ACTIVE,2019-01-09 10:34:34
ACC_1000068,C_100046,SAVINGS,24608.78,ACTIVE,2018-12-25 16:40:34
ACC_1000069,C_100047,SAVINGS,13070.9,DORMANT,2021-10-10 18:43:37
ACC_1000070,C_100048,BUSINESS,36764.35,ACTIVE,2024-05-20 22:42:25
ACC_1000071,C_100048,BUSINESS,199450.93,ACTIVE,2024-05-13 20:12:25
ACC_1000072,C_100049,CURRENT,1971.8,ACTIVE,2021-10-08 18:48:38
ACC_1000073,C_100050,CURRENT,4167.88,ACTIVE,2023-06-17 22:49:15
ACC_1000074,C_100050,BUSINESS,1035510.97,ACTIVE,2023-07-16 04:38:15
