beneficiary_id,account_id,beneficiary_account_id,created_at,status
B_100000,ACC_1000001,ACC_1000963,2016-05-02 14:51:03,APPROVED
B_100001,ACC_1000003,ACC_1007579,2016-05-19 15:52:03,APPROVED
B_100002,ACC_1000003,ACC_1007517,2016-05-27 15:52:03,APPROVED
B_100003,ACC_1000003,ACC_1014003,2016-05-23 15:52:03,APPROVED
B_100004,ACC_1000008,ACC_1012669,2019-04-15 17:22:18,APPROVED
B_100005,ACC_1000008,ACC_1012914,2019-04-21 17:22:18,APPROVED
B_100006,ACC_1000009,ACC_1013161,2018-05-27 00:47:13,APPROVED
B_100007,ACC_1000009,ACC_1000659,2018-06-01 00:47:13,APPROVED
B_100008,ACC_1000009,ACC_1003605,2018-05-31 00:47:13,APPROVED
B_100009,ACC_1000013,ACC_1004924,2022-08-13 09:58:55,APPROVED
B_100010,ACC_1000013,ACC_1000795,2022-08-16 09:58:55,APPROVED
B_100011,ACC_1000016,ACC_1007341,2022-03-28 23:17:04,APPROVED
B_100012,ACC_1000020,ACC_1010206,2022-01-01 12:34:14,APPROVED
B_100013,ACC_1000020,ACC_1011865,2021-12-26 12:34:14,APPROVED
B_100014,ACC_1000020,ACC_1004658,2022-01-01 12:34:14,APPROVED
B_100015,ACC_1000023,ACC_1004557,2025-02-18 12:35:46,APPROVED
B_100016,ACC_1000023,ACC_1003486,2025-02-16 12:35:46,APPROVED
B_100017,ACC_1000024,ACC_1010677,2025-03-13 09:13:11,APPROVED
B_100018,ACC_1000024,ACC_1007123,2025-03-05 09:13:11,APPROVED
B_100019,ACC_1000024,ACC_1010398,2025-03-08 09:13:11,APPROVED
B_100020,ACC_1000027,ACC_1001209,2022-09-04 12:51:04,APPROVED
B_100021,ACC_1000027,ACC_1009702,2022-09-07 12:51:04,APPROVED
B_100022,ACC_1000027,ACC_1008656,2022-09-01 12:51:04,APPROVED
B_100023,ACC_1000033,ACC_1008564,2023-04-05 07:19:59,APPROVED
B_100024,ACC_1000033,ACC_1000600,2023-04-09 07:19:59,APPROVED
B_100025,ACC_1000033,ACC_1005469,2023-04-10 07:19:59,APPROVED
B_100026,ACC_1000034,ACC_1007142,2023-04-26 06:58:59,APPROVED
B_100027,ACC_1000034,ACC_1008793,2023-04-27 06:58:59,APPROVED
B_100028,ACC_1000034,ACC_1014038,2023-04-22 06:58:59,APPROVED
B_100029,ACC_1000035,ACC_1010037,2017-08-18 19:45:36,APPROVED
B_100030,ACC_1000035,ACC_1008246,2017-08-11 19:45:36,APPROVED
B_100031,ACC_1000040,ACC_1001008,2020-04-14 21:25:42,APPROVED
B_100032,ACC_1000041,ACC_1007098,2017-10-17 10:50:50,APPROVED
B_100033,ACC_1000044,ACC_1010157,2021-09-02 23:29:15,APPROVED
B_100034,ACC_1000044,ACC_1007518,2021-08-29 23:29:15,PENDING
B_100035,ACC_1000044,ACC_1007872,2021-09-03 23:29:15,APPROVED
B_100036,ACC_1000045,ACC_1010694,2021-09-02 14:13:15,APPROVED
B_100037,ACC_1000045,ACC_1002192,2021-09-01 14:13:15,APPROVED
B_100038,ACC_1000048,ACC_1012026,2021-12-15 16:13:07,APPROVED
B_100039,ACC_1000048,ACC_1003229,2021-12-16 16:13:07,APPROVED
B_100040,ACC_1000048,ACC_1014566,2021-12-14 16:13:07,APPROVED
