device_id,device_type,operating_system,ip_address,location
DEV_10000,LAPTOP,macOS Sonoma,47.116.241.122,Manchester
DEV_10001,MOBILE,Android 13,87.202.200.66,Glasgow
DEV_10002,LAPTOP,macOS Sonoma,138.233.248.239,Leeds
DEV_10003,LAPTOP,macOS Sonoma,166.181.154.194,Cardiff
DEV_10004,LAPTOP,Windows 10,76.165.68.63,Coventry
DEV_10005,TABLET,iPadOS 16,49.118.128.77,London
DEV_10006,MOBILE,Android 13,150.221.69.132,Birmingham
DEV_10007,LAPTOP,macOS Ventura,52.77.38.123,Coventry
DEV_10008,TABLET,Android 13 Tablet,32.49.40.241,Belfast
DEV_10009,TABLET,iPadOS 17,51.254.244.30,Leicester
DEV_10010,TABLET,iPadOS 16,158.11.176.52,Nottingham
DEV_10011,MOBILE,iOS 17.4,126.170.9.199,Glasgow
DEV_10012,TABLET,Android 13 Tablet,52.143.71.29,London
DEV_10013,LAPTOP,macOS Sonoma,129.179.220.128,Edinburgh
DEV_10014,MOBILE,iOS 16.5,116.70.222.104,Nottingham
DEV_10015,MOBILE,iOS 16.5,195.182.26.167,Belfast
DEV_10016,LAPTOP,Windows 10,73.180.203.254,Manchester
DEV_10017,MOBILE,Android 14,141.186.201.241,London
DEV_10018,TABLET,iPadOS 16,188.76.175.249,Nottingham
DEV_10019,TABLET,iPadOS 16,95.213.180.175,Sheffield
DEV_10020,LAPTOP,macOS Ventura,169.211.41.52,Liverpool
DEV_10021,LAPTOP,Windows 10,164.198.208.236,Liverpool
DEV_10022,MOBILE,iOS 17.4,44.200.210.233,Birmingham
DEV_10023,MOBILE,iOS 16.5,157.203.144.181,London
DEV_10024,TABLET,iPadOS 16,56.7.42.143,Nottingham
DEV_10025,LAPTOP,macOS Sonoma,176.95.13.249,Bristol
DEV_10026,TABLET,iPadOS 17,93.233.45.176,Edinburgh
DEV_10027,MOBILE,Android 13,106.37.145.95,Glasgow
DEV_10028,TABLET,iPadOS 16,150.186.199.4,London
DEV_10029,MOBILE,Android 13,76.5.140.32,Liverpool
DEV_10030,TABLET,iPadOS 17,44.157.115.8,Sheffield
DEV_10031,TABLET,iPadOS 16,137.153.208.62,Nottingham
DEV_10032,MOBILE,iOS 17.4,39.130.218.201,Coventry
DEV_10033,MOBILE,iOS 16.5,59.146.10.153,Sheffield
DEV_10034,MOBILE,iOS 17.4,103.81.66.141,Cardiff
DEV_10035,MOBILE,Android 14,37.49.78.156,Newcastle
DEV_10036,TABLET,iPadOS 17,82.228.14.192,London
DEV_10037,TABLET,iPadOS 17,173.62.32.200,Glasgow
DEV_10038,TABLET,Android 13 Tablet,133.121.135.165,Manchester
DEV_10039,MOBILE,iOS 17.4,88.119.142.170,Newcastle
DEV_10040,MOBILE,iOS 16.5,133.178.244.62,Glasgow
DEV_10041,TABLET,Android 13 Tablet,150.216.191.46,Cardiff
DEV_10042,LAPTOP,Windows 11,126.90.209.87,Glasgow
DEV_10043,TABLET,Android 13 Tablet,45.74.63.230,Bristol
DEV_10044,TABLET,Android 13 Tablet,117.142.216.23,Bristol
DEV_10045,MOBILE,Android 13,167.60.12.117,Liverpool
DEV_10046,LAPTOP,Ubuntu 22.04,67.187.218.37,Manchester
DEV_10047,TABLET,iPadOS 17,32.101.181.209,Newcastle
DEV_10048,MOBILE,iOS 16.5,169.56.177.51,Leicester
DEV_10049,TABLET,iPadOS 17,97.61.49.12,Glasgow
DEV_10050,MOBILE,Android 13,92.47.37.97,Sheffield
DEV_10051,TABLET,iPadOS 17,179.45.135.192,Bristol
DEV_10052,TABLET,iPadOS 17,76.125.204.222,Birmingham
DEV_10053,LAPTOP,Windows 11,81.104.105.211,Bristol
DEV_10054,TABLET,iPadOS 17,80.254.210.238,Belfast
DEV_10055,MOBILE,Android 13,86.207.168.4,Cardiff
DEV_10056,TABLET,iPadOS 17,58.107.105.208,Bristol
DEV_10057,LAPTOP,macOS Ventura,194.108.207.117,Sheffield
DEV_10058,LAPTOP,macOS Sonoma,193.128.155.129,Belfast
DEV_10059,LAPTOP,Ubuntu 22.04,162.61.180.245,London
DEV_10060,LAPTOP,Windows 11,33.154.217.200,Leeds
DEV_10061,MOBILE,iOS 17.4,100.239.43.156,Birmingham
DEV_10062,LAPTOP,Windows 10,124.240.209.108,Newcastle
DEV_10063,LAPTOP,macOS Ventura,103.233.252.181,Glasgow
DEV_10064,TABLET,iPadOS 16,160.78.190.78,Bristol
DEV_10065,MOBILE,iOS 16.5,122.92.194.49,Manchester
DEV_10066,LAPTOP,macOS Ventura,95.127.118.57,Bristol
DEV_10067,LAPTOP,Windows 11,117.54.68.245,Leeds
DEV_10068,TABLET,Android 13 Tablet,108.225.67.165,Coventry
DEV_10069,LAPTOP,Ubuntu 22.04,34.128.44.228,Leicester
DEV_10070,LAPTOP,Windows 11,55.217.79.220,Leicester
DEV_10071,TABLET,iPadOS 17,133.25.107.121,Birmingham
DEV_10072,TABLET,Android 13 Tablet,45.74.132.49,Leicester
DEV_10073,TABLET,iPadOS 17,190.212.168.60,Edinburgh
DEV_10074,MOBILE,Android 13,39.249.172.198,Birmingham
DEV_10075,TABLET,iPadOS 17,101.31.161.130,Edinburgh
DEV_10076,LAPTOP,macOS Sonoma,86.188.14.25,Sheffield
DEV_10077,MOBILE,iOS 17.4,148.234.69.62,Sheffield
DEV_10078,LAPTOP,Ubuntu 22.04,102.173.26.179,Liverpool
DEV_10079,MOBILE,Android 13,96.201.30.36,Leicester
DEV_10080,MOBILE,Android 13,192.128.120.99,London
DEV_10081,MOBILE,Android 14,62.200.242.106,Edinburgh
DEV_10082,LAPTOP,macOS Sonoma,98.93.162.83,Liverpool
DEV_10083,TABLET,iPadOS 16,132.26.99.27,Nottingham
DEV_10084,TABLET,iPadOS 17,138.198.79.127,Edinburgh
DEV_10085,TABLET,iPadOS 17,78.227.43.212,Nottingham
DEV_10086,LAPTOP,macOS Sonoma,96.190.79.46,Leicester
DEV_10087,LAPTOP,Windows 11,127.10.64.141,London
DEV_10088,TABLET,iPadOS 17,127.127.233.97,Bristol
DEV_10089,MOBILE,Android 13,189.91.64.98,Birmingham
DEV_10090,LAPTOP,Windows 11,131.250.204.12,Coventry
DEV_10091,LAPTOP,Windows 10,120.91.100.140,Edinburgh
DEV_10092,TABLET,iPadOS 16,85.150.111.99,Birmingham
DEV_10093,LAPTOP,macOS Sonoma,67.101.15.154,London
DEV_10094,LAPTOP,Windows 11,77.50.177.135,London
DEV_10095,TABLET,iPadOS 16,107.21.202.101,Manchester
DEV_10096,TABLET,iPadOS 17,151.67.168.135,Birmingham
DEV_10097,TABLET,iPadOS 16,69.210.72.212,Leicester
DEV_10098,TABLET,iPadOS 17,159.107.159.17,Liverpool
DEV_10099,TABLET,iPadOS 16,74.109.147.135,Edinburgh
DEV_10100,LAPTOP,Windows 11,58.133.186.68,Bristol
DEV_10101,MOBILE,Android 14,119.224.135.12,Sheffield
DEV_10102,TABLET,Android 13 Tablet,182.107.140.100,Edinburgh
DEV_10103,TABLET,iPadOS 17,81.140.13.106,Bristol
DEV_10104,LAPTOP,Windows 10,54.141.179.136,Bristol
DEV_10105,LAPTOP,Windows 10,191.192.90.98,Edinburgh
DEV_10106,MOBILE,iOS 16.5,64.209.65.251,Cardiff
DEV_10107,TABLET,iPadOS 16,146.227.60.135,Birmingham
DEV_10108,LAPTOP,Ubuntu 22.04,136.211.124.223,Sheffield
DEV_10109,MOBILE,iOS 17.4,96.108.233.152,Manchester
DEV_10110,MOBILE,iOS 17.4,50.9.140.246,Sheffield
DEV_10111,MOBILE,iOS 17.4,154.191.158.232,Nottingham
DEV_10112,MOBILE,iOS 16.5,173.155.43.97,Manchester
DEV_10113,TABLET,Android 13 Tablet,131.54.243.34,Edinburgh
DEV_10114,MOBILE,iOS 16.5,108.91.88.127,Coventry
DEV_10115,MOBILE,Android 13,34.192.35.192,Leicester
DEV_10116,TABLET,iPadOS 17,43.122.75.96,Leeds
DEV_10117,MOBILE,iOS 17.4,159.78.83.133,Glasgow
DEV_10118,TABLET,iPadOS 17,156.75.157.205,Glasgow
DEV_10119,LAPTOP,macOS Sonoma,46.105.138.52,Manchester
DEV_10120,TABLET,Android 13 Tablet,165.203.16.30,Manchester
DEV_10121,LAPTOP,Windows 10,169.114.130.60,Coventry
DEV_10122,TABLET,iPadOS 17,68.209.202.11,Cardiff
DEV_10123,LAPTOP,macOS Sonoma,50.246.163.251,Glasgow
DEV_10124,LAPTOP,macOS Ventura,66.192.200.232,Birmingham
DEV_10125,LAPTOP,macOS Sonoma,130.59.37.140,Leicester
DEV_10126,TABLET,iPadOS 17,67.57.60.11,Nottingham
DEV_10127,MOBILE,Android 13,110.73.39.117,Nottingham
DEV_10128,LAPTOP,Ubuntu 22.04,77.188.229.128,Belfast
DEV_10129,MOBILE,Android 14,92.198.224.70,Manchester
DEV_10130,MOBILE,Android 14,51.146.29.33,Cardiff
DEV_10131,MOBILE,Android 14,96.48.151.207,Liverpool
DEV_10132,TABLET,iPadOS 16,92.43.221.52,Liverpool
DEV_10133,TABLET,iPadOS 17,121.171.48.203,Liverpool
DEV_10134,LAPTOP,macOS Ventura,53.97.190.80,Coventry
DEV_10135,MOBILE,Android 14,131.88.249.109,Bristol
DEV_10136,TABLET,Android 13 Tablet,50.48.136.153,Belfast
DEV_10137,LAPTOP,macOS Sonoma,70.37.153.47,Cardiff
DEV_10138,TABLET,iPadOS 16,175.164.141.148,Newcastle
DEV_10139,MOBILE,Android 14,189.142.11.102,Liverpool
DEV_10140,MOBILE,Android 13,117.38.90.225,London
DEV_10141,LAPTOP,Windows 10,188.63.60.149,Belfast
DEV_10142,MOBILE,iOS 16.5,171.197.127.19,Liverpool
DEV_10143,MOBILE,iOS 17.4,79.113.192.84,Leeds
DEV_10144,TABLET,iPadOS 16,61.193.66.159,Nottingham
DEV_10145,LAPTOP,Windows 11,59.218.212.163,Manchester
DEV_10146,MOBILE,Android 13,157.35.96.67,Belfast
DEV_10147,TABLET,Android 13 Tablet,132.187.29.143,Glasgow
DEV_10148,LAPTOP,macOS Sonoma,106.164.89.62,Bristol
DEV_10149,MOBILE,iOS 16.5,67.41.229.40,Edinburgh
DEV_10150,MOBILE,iOS 17.4,117.192.131.170,Sheffield
DEV_10151,LAPTOP,Windows 11,74.229.59.165,Leeds
DEV_10152,MOBILE,Android 13,152.178.97.251,Nottingham
DEV_10153,LAPTOP,Windows 10,157.164.217.246,Leeds
DEV_10154,LAPTOP,Windows 10,178.47.124.129,Nottingham
DEV_10155,MOBILE,iOS 16.5,190.244.237.110,Edinburgh
DEV_10156,LAPTOP,macOS Ventura,106.203.208.100,Glasgow
DEV_10157,LAPTOP,macOS Sonoma,80.201.177.118,Birmingham
DEV_10158,MOBILE,Android 13,131.141.103.101,Birmingham
DEV_10159,TABLET,iPadOS 16,60.39.27.66,Leicester
DEV_10160,TABLET,iPadOS 17,146.176.121.241,Cardiff
DEV_10161,LAPTOP,macOS Ventura,134.159.4.130,Nottingham
DEV_10162,LAPTOP,macOS Ventura,93.187.90.208,Coventry
DEV_10163,MOBILE,Android 13,62.16.54.104,Belfast
DEV_10164,LAPTOP,Windows 10,89.213.196.211,Edinburgh
DEV_10165,MOBILE,iOS 17.4,156.11.175.218,Glasgow
DEV_10166,LAPTOP,Windows 11,169.103.129.114,Coventry
DEV_10167,MOBILE,iOS 16.5,157.251.123.46,Cardiff
DEV_10168,MOBILE,iOS 16.5,104.206.9.143,Nottingham
DEV_10169,TABLET,Android 13 Tablet,102.21.149.131,Leeds
DEV_10170,TABLET,iPadOS 16,164.44.221.124,Coventry
DEV_10171,MOBILE,Android 13,128.141.26.33,Birmingham
DEV_10172,MOBILE,iOS 17.4,181.169.140.143,Glasgow
DEV_10173,MOBILE,iOS 16.5,131.229.66.155,Coventry
DEV_10174,MOBILE,Android 13,34.67.67.191,Belfast
DEV_10175,TABLET,iPadOS 16,113.236.245.156,Cardiff
DEV_10176,LAPTOP,Ubuntu 22.04,51.201.134.166,Leicester
DEV_10177,TABLET,iPadOS 17,65.190.204.55,Sheffield
DEV_10178,TABLET,iPadOS 17,192.73.58.24,Birmingham
DEV_10179,LAPTOP,Ubuntu 22.04,174.66.72.39,Leeds
DEV_10180,MOBILE,Android 13,52.57.228.199,Leeds
DEV_10181,LAPTOP,macOS Sonoma,138.245.247.75,Coventry
DEV_10182,LAPTOP,macOS Sonoma,79.125.189.243,Coventry
DEV_10183,MOBILE,iOS 17.4,54.26.153.185,London
DEV_10184,LAPTOP,Windows 10,91.71.249.118,Edinburgh
DEV_10185,TABLET,iPadOS 17,75.102.100.217,Leicester
DEV_10186,MOBILE,iOS 17.4,188.34.188.179,London
DEV_10187,MOBILE,Android 14,90.162.137.173,Cardiff
DEV_10188,TABLET,iPadOS 16,113.62.120.101,London
DEV_10189,TABLET,iPadOS 16,166.112.115.66,London
DEV_10190,TABLET,iPadOS 16,155.81.63.196,Birmingham
DEV_10191,TABLET,iPadOS 17,68.226.166.93,London
DEV_10192,LAPTOP,macOS Ventura,92.178.25.26,Leeds
DEV_10193,LAPTOP,macOS Ventura,133.252.221.61,Nottingham
DEV_10194,LAPTOP,Windows 10,58.203.81.202,Leeds
DEV_10195,MOBILE,iOS 16.5,98.193.124.161,Belfast
DEV_10196,TABLET,iPadOS 17,48.134.7.216,Glasgow
DEV_10197,LAPTOP,Windows 10,124.72.112.204,Glasgow
DEV_10198,MOBILE,iOS 16.5,85.93.62.68,Glasgow
DEV_10199,LAPTOP,Ubuntu 22.04,190.239.204.45,Edinburgh
DEV_10200,LAPTOP,macOS Sonoma,184.74.80.145,Liverpool
DEV_10201,TABLET,Android 13 Tablet,120.11.237.170,London
DEV_10202,TABLET,iPadOS 17,147.46.99.197,Liverpool
DEV_10203,LAPTOP,Ubuntu 22.04,173.71.174.239,Nottingham
DEV_10204,TABLET,iPadOS 16,142.41.35.16,London
DEV_10205,TABLET,iPadOS 17,39.33.42.162,Birmingham
DEV_10206,LAPTOP,macOS Ventura,105.195.41.183,Belfast
DEV_10207,MOBILE,Android 13,61.228.15.80,Glasgow
DEV_10208,LAPTOP,Ubuntu 22.04,155.158.148.181,Leeds
DEV_10209,LAPTOP,macOS Sonoma,172.166.20.10,Bristol
DEV_10210,MOBILE,iOS 16.5,69.85.150.105,Cardiff
DEV_10211,MOBILE,iOS 17.4,120.118.230.32,Newcastle
DEV_10212,LAPTOP,macOS Ventura,175.33.201.144,Belfast
DEV_10213,TABLET,iPadOS 16,186.216.129.239,Liverpool
DEV_10214,MOBILE,iOS 17.4,89.164.111.157,Manchester
DEV_10215,MOBILE,iOS 16.5,190.163.170.176,Nottingham
DEV_10216,TABLET,iPadOS 16,115.185.190.196,Belfast
DEV_10217,TABLET,Android 13 Tablet,115.44.135.91,Glasgow
DEV_10218,MOBILE,Android 13,70.147.28.46,Leeds
DEV_10219,MOBILE,Android 14,104.194.219.114,Cardiff
DEV_10220,MOBILE,iOS 16.5,124.90.133.245,Glasgow
DEV_10221,TABLET,iPadOS 17,38.100.154.48,Leeds
DEV_10222,LAPTOP,Ubuntu 22.04,133.72.250.30,Leeds
DEV_10223,LAPTOP,macOS Ventura,154.156.105.181,Glasgow
DEV_10224,TABLET,iPadOS 16,100.107.34.40,Coventry
DEV_10225,TABLET,iPadOS 17,118.30.187.17,Glasgow
DEV_10226,MOBILE,Android 14,102.4.80.54,Edinburgh
DEV_10227,MOBILE,iOS 17.4,67.78.208.104,Leicester
DEV_10228,LAPTOP,macOS Sonoma,71.22.54.224,Manchester
DEV_10229,MOBILE,iOS 16.5,61.26.184.202,Sheffield
DEV_10230,MOBILE,iOS 17.4,76.150.110.100,Edinburgh
