merchant_id,merchant_name,merchant_category,location,risk_score
M_1000,Argos #67,RETAIL,Cardiff,0.01
M_1001,Luno #812,CRYPTO_EXCHANGE,ONLINE,0.79
M_1002,AliExpress #446,E_COMMERCE,ONLINE,0.15
M_1003,Amazon #147,E_COMMERCE,Manchester,0.17
M_1004,Wayfair #925,E_COMMERCE,ONLINE,0.31
M_1005,Sainsbury's #527,RETAIL,ONLINE,0.1
M_1006,Coinbase #225,CRYPTO_EXCHANGE,ONLINE,0.91
M_1007,Crypto.com #596,CRYPTO_EXCHANGE,ONLINE,0.88
M_1008,Currys #417,RETAIL,ONLINE,0.03
M_1009,ASOS #935,E_COMMERCE,ONLINE,0.14
M_1010,Binance #751,CRYPTO_EXCHANGE,Birmingham,0.92
M_1011,PlayStation Network #861,GAMING,ONLINE,0.71
M_1012,PlayStation Network #454,GAMING,ONLINE,0.81
M_1013,Binance #172,CRYPTO_EXCHANGE,Sheffield,0.8
M_1014,PlayStation Network #368,GAMING,Cardiff,0.73
M_1015,Tesco #801,RETAIL,Edinburgh,0.12
M_1016,Crypto.com #814,CRYPTO_EXCHANGE,Edinburgh,0.79
M_1017,Currys #602,RETAIL,Belfast,0.07
M_1018,Tesco #74,RETAIL,ONLINE,0.08
M_1019,Luno #153,CRYPTO_EXCHANGE,Cardiff,0.8
M_1020,Marks & Spencer #901,RETAIL,ONLINE,0.01
M_1021,ASDA #728,RETAIL,ONLINE,0.04
M_1022,PokerStars #637,GAMING,Manchester,0.59
M_1023,PokerStars #671,GAMING,ONLINE,0.57
M_1024,Steam #659,GAMING,Glasgow,0.77
M_1025,Boots #514,RETAIL,Newcastle,0.05
M_1026,ASDA #415,RETAIL,ONLINE,0.07
M_1027,Steam #786,GAMING,Manchester,0.58
M_1028,Booking.com #258,TRAVEL,ONLINE,0.3
M_1029,EasyJet #516,TRAVEL,Nottingham,0.17
M_1030,Boots #448,RETAIL,ONLINE,0.11
M_1031,Binance #552,CRYPTO_EXCHANGE,ONLINE,0.92
M_1032,888 Casino #421,GAMING,ONLINE,0.55
M_1033,PokerStars #754,GAMING,ONLINE,0.79
M_1034,PokerStars #725,GAMING,ONLINE,0.71
M_1035,Booking.com #81,TRAVEL,ONLINE,0.18
M_1036,British Airways #224,TRAVEL,ONLINE,0.42
M_1037,Binance #700,CRYPTO_EXCHANGE,ONLINE,0.8
M_1038,Next #272,RETAIL,Bristol,0.04
M_1039,Marks & Spencer #354,RETAIL,Edinburgh,0.09
M_1040,PlayStation Network #593,GAMING,ONLINE,0.6
M_1041,Airbnb #243,TRAVEL,Nottingham,0.29
M_1042,British Airways #207,TRAVEL,ONLINE,0.43
M_1043,Amazon #749,E_COMMERCE,Leeds,0.11
M_1044,ASOS #214,E_COMMERCE,ONLINE,0.14
M_1045,Amazon #812,E_COMMERCE,ONLINE,0.13
M_1046,Etsy #254,E_COMMERCE,Belfast,0.3
M_1047,Steam #347,GAMING,ONLINE,0.58
M_1048,Steam #458,GAMING,ONLINE,0.79
M_1049,Booking.com #81,TRAVEL,Belfast,0.15
M_1050,Steam #933,GAMING,ONLINE,0.61
M_1051,Binance #10,CRYPTO_EXCHANGE,ONLINE,0.7
M_1052,Next #15,RETAIL,ONLINE,0.14
M_1053,Wayfair #465,E_COMMERCE,ONLINE,0.15
M_1054,Etsy #349,E_COMMERCE,ONLINE,0.29
M_1055,Kraken #889,CRYPTO_EXCHANGE,ONLINE,0.82
M_1056,PokerStars #927,GAMING,ONLINE,0.7
M_1057,Next #159,RETAIL,ONLINE,0.06
M_1058,Luno #615,CRYPTO_EXCHANGE,ONLINE,0.82
M_1059,AliExpress #368,E_COMMERCE,Liverpool,0.14
M_1060,Etsy #734,E_COMMERCE,ONLINE,0.32
M_1061,Wayfair #741,E_COMMERCE,ONLINE,0.21
M_1062,PokerStars #840,GAMING,ONLINE,0.82
M_1063,Bet365 #409,GAMING,Belfast,0.75
M_1064,Luno #592,CRYPTO_EXCHANGE,ONLINE,0.77
M_1065,Crypto.com #921,CRYPTO_EXCHANGE,ONLINE,0.85
M_1066,Coinbase #503,CRYPTO_EXCHANGE,ONLINE,0.94
M_1067,Amazon #270,E_COMMERCE,ONLINE,0.31
M_1068,Luno #191,CRYPTO_EXCHANGE,ONLINE,0.93
M_1069,Amazon #500,E_COMMERCE,ONLINE,0.15
M_1070,Etsy #53,E_COMMERCE,Leeds,0.33
M_1071,Binance #624,CRYPTO_EXCHANGE,Belfast,0.72
M_1072,Etsy #900,E_COMMERCE,Nottingham,0.29
M_1073,PokerStars #104,GAMING,ONLINE,0.56
M_1074,PokerStars #188,GAMING,Glasgow,0.85
M_1075,Sainsbury's #275,RETAIL,Cardiff,0.09
M_1076,Currys #24,RETAIL,Birmingham,0.1
M_1077,Wayfair #740,E_COMMERCE,ONLINE,0.2
