transaction_id,sender_account_id,receiver_account_id,merchant_id,device_id,amount,transaction_type,timestamp,fraud_label
TXN_F_60002796,ACC_1002305,,M_1238,DEV_10872,3002.04,PURCHASE,2025-12-26 11:47:33,1
TXN_F_60002799,ACC_1002305,,M_1074,DEV_10727,1666.67,PURCHASE,2025-12-26 15:10:33,1
TXN_F_60002791,ACC_1009892,,M_1067,DEV_10299,1038.52,PURCHASE,2025-12-26 19:39:02,1
TXN_F_60002789,ACC_1008269,,M_1252,DEV_10229,2540.29,PURCHASE,2025-12-27 00:07:57,1
TXN_F_60002795,ACC_1002305,,M_1480,DEV_11913,2110.29,PURCHASE,2025-12-27 01:26:33,1
TXN_F_60002780,ACC_1013252,,M_1187,DEV_H_98829,4178.88,PURCHASE,2025-12-27 01:57:22,1
TXN_F_60002798,ACC_1002305,,M_1109,DEV_10102,3731.94,PURCHASE,2025-12-27 02:15:33,1
TXN_F_60002784,ACC_1013252,,M_1279,DEV_11882,4396.7,PURCHASE,2025-12-27 04:13:22,1
TXN_F_60002792,ACC_1009892,,M_1163,DEV_10642,4628.77,PURCHASE,2025-12-27 05:32:02,1
TXN_F_60002776,ACC_1008270,,M_1433,DEV_11645,1726.66,PURCHASE,2025-12-27 06:00:57,1
TXN_F_60002785,ACC_1008269,,M_1388,DEV_11664,4801.98,PURCHASE,2025-12-27 06:01:57,1
TXN_F_60002778,ACC_1008270,,M_1370,DEV_11620,1598.98,PURCHASE,2025-12-27 08:04:57,1
TXN_F_60002793,ACC_1009892,,M_1267,DEV_10194,2140.68,PURCHASE,2025-12-27 08:13:02,1
TXN_F_60002786,ACC_1008269,,M_1306,DEV_11295,2073.81,PURCHASE,2025-12-27 08:16:57,1
TXN_F_60002770,ACC_1008576,,M_1482,DEV_H_94054,3864.26,PURCHASE,2025-12-27 08:44:53,1
TXN_F_60002797,ACC_1002305,,M_1197,DEV_11087,3249.34,PURCHASE,2025-12-27 08:49:33,1
TXN_F_60002790,ACC_1009892,,M_1302,DEV_10765,2739.1,PURCHASE,2025-12-27 08:50:02,1
TXN_F_60002772,ACC_1008576,,M_1021,DEV_11769,2446.74,PURCHASE,2025-12-27 10:33:53,1
TXN_F_60002763,ACC_1007899,,M_1140,DEV_11366,4431.65,PURCHASE,2025-12-27 10:42:31,1
TXN_F_60002767,ACC_1008273,,M_1019,DEV_10662,1124.23,PURCHASE,2025-12-27 12:18:37,1
TXN_F_60002794,ACC_1009892,,M_1284,DEV_10704,4996.88,PURCHASE,2025-12-27 12:21:02,1
TXN_F_60002760,ACC_1007899,,M_1043,DEV_10317,4804.21,PURCHASE,2025-12-27 16:13:31,1
TXN_F_60002787,ACC_1008269,,M_1411,DEV_11276,1805.47,PURCHASE,2025-12-27 16:21:57,1
TXN_F_60002779,ACC_1008270,,M_1083,DEV_H_95507,1580.37,PURCHASE,2025-12-27 16:30:57,1
TXN_F_60002771,ACC_1008576,,M_1052,DEV_10272,4852.36,PURCHASE,2025-12-27 17:12:53,1
TXN_F_60002788,ACC_1008269,,M_1482,DEV_10408,4018.58,PURCHASE,2025-12-27 17:31:57,1
TXN_F_60002783,ACC_1013252,,M_1345,DEV_11256,3050.79,PURCHASE,2025-12-27 17:40:22,1
TXN_F_60002751,ACC_1007576,,M_1371,DEV_H_97591,3203.97,PURCHASE,2025-12-27 20:07:45,1
TXN_F_60002764,ACC_1007899,,M_1252,DEV_10191,2242.04,PURCHASE,2025-12-27 20:39:31,1
TXN_F_60002769,ACC_1008273,,M_1296,DEV_H_92798,1804.3,PURCHASE,2025-12-27 20:50:37,1
TXN_F_60002756,ACC_1007793,,M_1221,DEV_11844,2192.61,PURCHASE,2025-12-27 21:46:15,1
TXN_F_60002759,ACC_1007793,,M_1154,DEV_H_97370,3208.25,PURCHASE,2025-12-27 22:02:15,1
TXN_F_60002768,ACC_1008273,,M_1437,DEV_10391,3380.35,PURCHASE,2025-12-27 22:14:37,1
TXN_F_60002781,ACC_1013252,,M_1277,DEV_H_95522,3887.0,PURCHASE,2025-12-27 22:18:22,1
TXN_F_60002766,ACC_1008273,,M_1386,DEV_11762,3224.7,PURCHASE,2025-12-27 22:21:37,1
TXN_F_60002755,ACC_1007793,,M_1265,DEV_H_93996,2530.03,PURCHASE,2025-12-27 22:33:15,1
TXN_F_60002774,ACC_1008576,,M_1423,DEV_11085,2068.06,PURCHASE,2025-12-27 22:54:53,1
TXN_F_60002777,ACC_1008270,,M_1128,DEV_11305,2082.11,PURCHASE,2025-12-27 23:20:57,1
TXN_F_60002782,ACC_1013252,,M_1353,DEV_H_93085,3245.14,PURCHASE,2025-12-28 00:02:22,1
TXN_F_60002773,ACC_1008576,,M_1417,DEV_10528,4772.86,PURCHASE,2025-12-28 00:34:53,1
TXN_F_60002762,ACC_1007899,,M_1142,DEV_10767,4140.21,PURCHASE,2025-12-28 02:13:31,1
TXN_F_60002765,ACC_1008273,,M_1457,DEV_11895,3732.66,PURCHASE,2025-12-28 02:28:37,1
TXN_F_60002775,ACC_1008270,,M_1232,DEV_10477,2931.39,PURCHASE,2025-12-28 03:21:57,1
TXN_F_60002758,ACC_1007793,,M_1249,DEV_11919,2162.74,PURCHASE,2025-12-28 03:26:15,1
TXN_F_60002761,ACC_1007899,,M_1150,DEV_10970,1933.32,PURCHASE,2025-12-28 03:40:31,1
TXN_F_60002752,ACC_1007576,,M_1311,DEV_10954,1780.19,PURCHASE,2025-12-28 04:20:45,1
TXN_F_60002743,ACC_1005938,,M_1079,DEV_H_98451,2537.42,PURCHASE,2025-12-28 09:12:50,1
TXN_F_60002757,ACC_1007793,,M_1164,DEV_11156,4474.49,PURCHASE,2025-12-28 09:17:15,1
TXN_F_60002754,ACC_1007576,,M_1334,DEV_H_92461,2143.18,PURCHASE,2025-12-28 10:20:45,1
TXN_F_60002747,ACC_1001055,,M_1102,DEV_10143,4373.86,PURCHASE,2025-12-28 11:26:09,1
TXN_F_60002750,ACC_1007576,,M_1054,DEV_11613,1101.75,PURCHASE,2025-12-28 13:43:45,1
TXN_F_60002742,ACC_1005938,,M_1200,DEV_11763,3770.58,PURCHASE,2025-12-28 15:09:50,1
TXN_F_60002753,ACC_1007576,,M_1338,DEV_11902,1344.57,PURCHASE,2025-12-28 15:47:45,1
TXN_F_60002744,ACC_1005938,,M_1259,DEV_10084,4397.8,PURCHASE,2025-12-28 18:00:50,1
TXN_F_60002736,ACC_1007960,,M_1492,DEV_11844,1235.31,PURCHASE,2025-12-28 18:14:59,1
TXN_F_60002745,ACC_1001055,,M_1428,DEV_10263,3840.01,PURCHASE,2025-12-28 18:18:09,1
TXN_F_60002730,ACC_1003637,,M_1358,DEV_11253,1676.29,PURCHASE,2025-12-28 18:51:19,1
TXN_F_60002739,ACC_1007960,,M_1004,DEV_10612,2527.88,PURCHASE,2025-12-28 19:21:59,1
TXN_F_60002737,ACC_1007960,,M_1034,DEV_11873,4958.66,PURCHASE,2025-12-28 20:16:59,1
TXN_F_60002735,ACC_1007960,,M_1182,DEV_10111,2475.05,PURCHASE,2025-12-28 20:56:59,1
TXN_F_60002749,ACC_1001055,,M_1304,DEV_10234,4819.3,PURCHASE,2025-12-28 21:02:09,1
TXN_F_60002740,ACC_1005938,,M_1111,DEV_11261,4966.1,PURCHASE,2025-12-28 21:12:50,1
TXN_F_60002741,ACC_1005938,,M_1398,DEV_10211,2315.29,PURCHASE,2025-12-28 22:16:50,1
TXN_F_60002748,ACC_1001055,,M_1236,DEV_11097,4884.02,PURCHASE,2025-12-28 23:23:09,1
TXN_F_60002746,ACC_1001055,,M_1082,DEV_11277,1896.48,PURCHASE,2025-12-29 01:17:09,1
TXN_F_60002725,ACC_1009038,,M_1167,DEV_10274,4105.77,PURCHASE,2025-12-29 04:20:49,1
TXN_F_60002731,ACC_1003637,,M_1356,DEV_11842,2730.82,PURCHASE,2025-12-29 06:01:19,1
TXN_F_60002726,ACC_1009038,,M_1068,DEV_11816,4225.61,PURCHASE,2025-12-29 06:14:49,1
TXN_F_60002734,ACC_1003637,,M_1192,DEV_10743,1580.73,PURCHASE,2025-12-29 07:04:19,1
TXN_F_60002732,ACC_1003637,,M_1080,DEV_11527,1686.53,PURCHASE,2025-12-29 07:22:19,1
TXN_F_60002729,ACC_1009038,,M_1109,DEV_10490,1016.07,PURCHASE,2025-12-29 07:27:49,1
TXN_F_60002720,ACC_1001643,,M_1486,DEV_11739,4301.25,PURCHASE,2025-12-29 07:34:33,1
TXN_F_60002722,ACC_1001643,,M_1494,DEV_11644,2126.86,PURCHASE,2025-12-29 07:46:33,1
TXN_F_60002721,ACC_1001643,,M_1452,DEV_H_99835,3389.3,PURCHASE,2025-12-29 09:56:33,1
TXN_F_60002738,ACC_1007960,,M_1169,DEV_10667,1886.68,PURCHASE,2025-12-29 11:06:59,1
TXN_F_60002712,ACC_1006874,,M_1093,DEV_11750,4524.1,PURCHASE,2025-12-29 13:04:50,1
TXN_F_60002713,ACC_1006874,,M_1293,DEV_11695,1383.61,PURCHASE,2025-12-29 13:41:50,1
TXN_F_60002724,ACC_1001643,,M_1046,DEV_10535,3623.18,PURCHASE,2025-12-29 14:39:33,1
TXN_F_60002727,ACC_1009038,,M_1180,DEV_11615,2668.68,PURCHASE,2025-12-29 15:03:49,1
TXN_F_60002733,ACC_1003637,,M_1451,DEV_10033,4654.84,PURCHASE,2025-12-29 15:06:19,1
TXN_F_60002719,ACC_1009846,,M_1412,DEV_10776,3964.82,PURCHASE,2025-12-29 15:33:32,1
TXN_F_60002718,ACC_1009846,,M_1258,DEV_11171,4349.61,PURCHASE,2025-12-29 15:53:32,1
TXN_F_60002709,ACC_1009890,,M_1109,DEV_10242,3663.01,PURCHASE,2025-12-29 17:50:02,1
TXN_F_60002704,ACC_1007799,,M_1392,DEV_11700,4251.52,PURCHASE,2025-12-29 18:44:07,1
TXN_F_60002710,ACC_1006874,,M_1391,DEV_10424,3678.03,PURCHASE,2025-12-29 20:48:50,1
TXN_F_60002708,ACC_1009890,,M_1140,DEV_10510,1725.14,PURCHASE,2025-12-29 21:22:02,1
TXN_F_60002706,ACC_1009890,,M_1138,DEV_H_97386,2314.0,PURCHASE,2025-12-29 21:28:02,1
TXN_F_60002728,ACC_1009038,,M_1443,DEV_11281,3051.98,PURCHASE,2025-12-29 22:17:49,1
TXN_F_60002705,ACC_1009890,,M_1386,DEV_10738,3251.34,PURCHASE,2025-12-29 23:14:02,1
TXN_F_60002707,ACC_1009890,,M_1134,DEV_10803,3979.31,PURCHASE,2025-12-29 23:28:02,1
TXN_F_60002715,ACC_1009846,,M_1191,DEV_11967,4177.27,PURCHASE,2025-12-30 00:07:32,1
TXN_F_60002723,ACC_1001643,,M_1095,DEV_11314,1979.91,PURCHASE,2025-12-30 01:13:33,1
TXN_F_60002717,ACC_1009846,,M_1144,DEV_10495,4747.29,PURCHASE,2025-12-30 02:42:32,1
TXN_F_60002716,ACC_1009846,,M_1473,DEV_11631,1011.57,PURCHASE,2025-12-30 03:14:32,1
TXN_F_60002711,ACC_1006874,,M_1445,DEV_10541,1626.64,PURCHASE,2025-12-30 05:05:50,1
TXN_F_60002700,ACC_1007799,,M_1332,DEV_10557,2394.96,PURCHASE,2025-12-30 06:13:07,1
TXN_F_60002714,ACC_1006874,,M_1336,DEV_10151,3724.54,PURCHASE,2025-12-30 09:42:50,1
TXN_F_60002702,ACC_1007799,,M_1205,DEV_11603,2866.27,PURCHASE,2025-12-30 10:27:07,1
TXN_F_60002703,ACC_1007799,,M_1147,DEV_10625,4744.07,PURCHASE,2025-12-30 14:33:07,1
TXN_F_60002701,ACC_1007799,,M_1017,DEV_11796,3427.5,PURCHASE,2025-12-30 14:48:07,1
TXN_F_60002695,ACC_1013018,,M_1267,DEV_11527,2994.79,PURCHASE,2025-12-30 18:07:32,1
TXN_F_60002699,ACC_1013018,,M_1222,DEV_11116,4886.64,PURCHASE,2025-12-30 21:57:32,1
TXN_F_60002697,ACC_1013018,,M_1174,DEV_11170,3867.93,PURCHASE,2025-12-31 01:24:32,1
TXN_F_60002694,ACC_1000833,,M_1209,DEV_10797,1101.87,PURCHASE,2025-12-31 02:48:39,1
TXN_F_60002690,ACC_1000833,,M_1009,DEV_11906,3664.2,PURCHASE,2025-12-31 05:16:39,1
TXN_F_60002691,ACC_1000833,,M_1036,DEV_11019,1059.81,PURCHASE,2025-12-31 06:55:39,1
TXN_F_60002693,ACC_1000833,,M_1439,DEV_11323,1172.27,PURCHASE,2025-12-31 07:25:39,1
TXN_F_60002692,ACC_1000833,,M_1130,DEV_10091,4407.4,PURCHASE,2025-12-31 10:43:39,1
TXN_F_60002696,ACC_1013018,,M_1288,DEV_11430,2273.01,PURCHASE,2025-12-31 11:07:32,1
TXN_F_60002698,ACC_1013018,,M_1258,DEV_11538,4806.74,PURCHASE,2025-12-31 11:26:32,1
